Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
1596540269.6460745,1249,337,485.0062255859375,0.9848636388778687,-13.400000000000004,-6.0,-7.0,18.0
1596540273.475917,1250,466,-1052.0540771484375,0.9977759122848511,-17.099999999999984,18.0,-7.0,-5.0
1596540277.4623349,1251,485,1031.85400390625,0.9517638087272644,-18.69999999999999,18.0,-7.0,-6.0
1596540281.5361364,1252,487,-104.6716079711914,0.9493112564086914,-14.900000000000002,-3.0,18.0,-5.0
1596540285.2835932,1253,427,-443.8490905761719,1.0741848945617676,7.4000000000000075,-5.0,-5.0,-5.0
1596540289.3957129,1254,503,1698.04443359375,0.9498463273048401,-19.09999999999998,-7.0,-3.0,18.0
1596540292.228674,1255,324,1082.6148681640625,0.9532772302627563,-11.000000000000002,18.0,-8.0,-6.0
1596540296.4952292,1256,497,-1270.6031494140625,1.0127085447311401,5.400000000000021,-7.0,-4.0,-5.0
1596540300.3476129,1257,463,909.5726318359375,0.9708741307258606,-14.000000000000005,18.0,-4.0,-4.0
1596540303.8211422,1258,416,1351.47509765625,0.9656570553779602,-16.099999999999994,-4.0,18.0,-3.0
1596540306.4112556,1259,310,257.6850280761719,0.9914267659187317,-13.200000000000003,-7.0,-7.0,18.0
1596540309.3482218,1260,364,252.109375,0.9523830413818359,-15.999999999999996,18.0,-6.0,-8.0
1596540312.508754,1261,366,713.3416748046875,0.98796546459198,-12.100000000000005,-6.0,18.0,-7.0
1596540315.9716396,1262,395,-1704.9083251953125,1.0404382944107056,7.799999999999994,-6.0,-8.0,-6.0
1596540318.6115608,1263,283,-1741.673583984375,1.0000137090682983,10.499999999999998,-7.0,-6.0,-8.0
1596540321.1904442,1264,275,-1242.64208984375,0.9854671359062195,10.899999999999999,-7.0,-5.0,-3.0
1596540323.5793755,1265,297,726.975341796875,0.9376388192176819,-14.400000000000002,-7.0,-6.0,18.0
1596540335.4262257,1266,1487,2690.6884765625,1.0306984186172485,-41.40000000000017,-3.0,18.0,-4.0
1596540337.895392,1267,283,1439.0885009765625,0.9092215895652771,-12.800000000000004,18.0,-5.0,-5.0
1596540339.8576577,1268,239,-366.9399108886719,0.9538068771362305,-13.300000000000002,-8.0,18.0,-8.0
1596540342.7032523,1269,342,-245.84779357910156,0.9231481552124023,-13.800000000000004,-6.0,-4.0,18.0
1596540345.801687,1270,356,-268.9256591796875,0.9930097460746765,-14.000000000000004,-8.0,18.0,-5.0
1596540348.3016894,1271,314,-627.9376220703125,0.909529447555542,-14.8,-7.0,-5.0,18.0
1596540350.0987768,1272,219,1294.372314453125,0.9168091416358948,-12.8,-7.0,18.0,-8.0
1596540353.3633258,1273,364,-1465.6177978515625,1.0211551189422607,8.199999999999994,-5.0,-8.0,-8.0
1596540355.8741903,1274,318,582.2410278320312,0.8872600793838501,-14.600000000000001,-3.0,18.0,-4.0
1596540358.0399625,1275,238,-1973.4678955078125,1.02711021900177,12.099999999999998,-3.0,-7.0,-3.0
1596540359.9457633,1276,193,-1608.9674072265625,0.9946979880332947,12.799999999999997,-7.0,-8.0,-8.0
1596540362.7165847,1277,314,-968.2095336914062,1.0059884786605835,10.2,-7.0,-3.0,-6.0
1596540366.6409924,1278,454,777.6288452148438,1.0610543489456177,6.700000000000008,-6.0,-5.0,-4.0
1596540370.3430803,1279,470,853.25732421875,0.9110174179077148,-16.59999999999999,-3.0,18.0,-4.0
1596540375.596554,1280,635,-444.8377990722656,1.1816465854644775,2.3000000000000185,-3.0,-5.0,-5.0
1596540377.667271,1281,238,1207.80078125,0.9962472915649414,-11.700000000000003,18.0,-7.0,-8.0
1596540381.472616,1282,478,1470.4661865234375,0.9232309460639954,-18.799999999999986,-4.0,-5.0,18.0
1596540384.0593884,1283,279,-2481.627685546875,1.0088328123092651,10.6,-8.0,-5.0,-6.0
1596540385.6000845,1284,190,-84.16801452636719,0.9642512202262878,-11.0,-6.0,18.0,-7.0
1596540387.8549056,1285,278,555.8673706054688,0.9855079054832458,-14.000000000000004,-5.0,18.0,-7.0
1596540391.01888,1286,374,402.57049560546875,0.9823660850524902,-16.999999999999993,-5.0,-7.0,18.0
1596540393.1846535,1287,269,1113.47802734375,0.8600589036941528,-10.8,18.0,-5.0,-6.0
1596540396.3140888,1288,359,686.7255859375,0.9938306212425232,-13.299999999999992,-8.0,-8.0,18.0
1596540400.848092,1289,548,1263.418212890625,1.0067843198776245,-17.399999999999984,-3.0,18.0,-4.0
1596540404.9705815,1290,479,-391.94134521484375,1.0021289587020874,6.100000000000001,-4.0,-8.0,-3.0
1596540408.0235894,1291,358,-590.809326171875,0.9777505397796631,-14.599999999999998,-7.0,18.0,-6.0
1596540410.4337878,1292,301,1021.0601806640625,0.9321338534355164,-14.200000000000003,-6.0,-5.0,18.0
1596540412.9944606,1293,280,-1179.52294921875,1.0425912141799927,11.099999999999998,-5.0,-7.0,-7.0
1596540415.3511333,1294,235,-1764.00146484375,0.9835177659988403,11.3,-8.0,-7.0,-8.0
1596540418.0862017,1295,320,629.1142578125,0.9809747338294983,-13.800000000000004,18.0,-5.0,-8.0
1596540420.5711994,1296,309,1207.2061767578125,0.9129331111907959,-14.600000000000001,-5.0,18.0,-6.0
1596540423.0397458,1297,299,-24.478994369506836,0.9496243000030518,-14.899999999999999,-6.0,-7.0,18.0
1596540425.7627215,1298,332,26.956480026245117,1.02542245388031,-12.200000000000003,-5.0,18.0,-6.0
1596540428.3695006,1299,276,-1664.3602294921875,0.9890416264533997,10.7,-8.0,-8.0,-3.0
1596540431.517188,1300,398,232.3049774169922,0.9308348894119263,-14.999999999999996,-6.0,18.0,-4.0
1596540434.6415715,1301,363,165.39096069335938,0.9855332970619202,-14.100000000000001,-7.0,-7.0,18.0
1596540436.9999137,1302,250,-1342.030517578125,0.9965410232543945,11.099999999999998,-8.0,-6.0,-7.0
1596540439.9788933,1303,352,-132.40988159179688,0.946959376335144,-15.1,-4.0,18.0,-4.0
1596540441.6316912,1304,205,1446.5416259765625,0.9765180349349976,-12.400000000000002,-8.0,18.0,-8.0
1596540444.4179053,1305,317,1165.647216796875,1.010584831237793,-13.200000000000005,-8.0,-8.0,18.0
1596540447.4332242,1306,350,1243.6729736328125,0.9484200477600098,-12.3,18.0,-6.0,-5.0
1596540450.5632143,1307,375,1194.71728515625,0.9430167078971863,-14.9,-6.0,-5.0,18.0
1596540452.4116902,1308,230,-912.252685546875,0.8891839981079102,-11.600000000000001,18.0,-4.0,-7.0
1596540455.95343,1309,406,-1535.47998046875,1.029125452041626,7.499999999999995,-3.0,-8.0,-8.0
1596540458.0050406,1310,230,2099.52587890625,0.9161314368247986,-12.600000000000001,-7.0,-6.0,18.0
1596540461.2099497,1311,363,-585.9959106445312,1.0279841423034668,8.699999999999996,-7.0,-5.0,-7.0
1596540462.828693,1312,204,364.5316467285156,0.8898522853851318,-12.100000000000001,18.0,-7.0,-5.0
1596540468.0422955,1313,627,571.8181762695312,0.969334065914154,-19.399999999999984,18.0,-3.0,-8.0
1596540471.377978,1314,378,-805.0939331054688,1.001922369003296,8.399999999999995,-8.0,-5.0,-5.0
1596540473.7855372,1315,274,2358.6279296875,0.9773627519607544,-14.7,18.0,-8.0,-8.0
1596540476.6186125,1316,307,-1745.4022216796875,1.0029560327529907,9.799999999999997,-8.0,-8.0,-5.0
1596540479.4361632,1317,356,1681.9263916015625,0.9350264072418213,-16.099999999999994,-7.0,-3.0,18.0
1596540482.3823938,1318,366,1243.6575927734375,0.9129335284233093,-16.399999999999995,-8.0,-3.0,18.0
1596540485.540828,1319,378,-197.45236206054688,0.9919265508651733,-15.2,18.0,-7.0,-6.0
1596540488.8996563,1320,379,-74.25592803955078,1.011623740196228,8.599999999999994,-4.0,-5.0,-4.0
1596540492.1472366,1321,379,-86.2183837890625,1.017128348350525,-12.300000000000002,18.0,-7.0,-7.0
1596540495.7505035,1322,433,695.1989135742188,0.9855456948280334,-15.199999999999989,-6.0,-5.0,18.0
1596540500.8996034,1323,607,-170.96888732910156,0.9922162890434265,2.60000000000003,-6.0,-3.0,-7.0
1596540505.4700482,1324,548,-504.7797546386719,1.0119482278823853,4.500000000000023,-5.0,-3.0,-6.0
1596540508.128236,1325,301,116.8770751953125,1.0018064975738525,-10.600000000000003,-6.0,-7.0,18.0
1596540512.0342672,1326,450,-1358.247802734375,0.996538519859314,6.700000000000006,-5.0,-3.0,-8.0
1596540515.248494,1327,398,219.21397399902344,0.9335805773735046,-17.09999999999999,-7.0,18.0,-5.0
1596540518.8843129,1328,428,1594.2596435546875,0.9819869995117188,-13.400000000000006,-5.0,-5.0,18.0
1596540523.3478694,1329,524,1084.3240966796875,0.9466559886932373,-19.899999999999977,-7.0,-6.0,18.0
1596540527.3158145,1330,481,1858.85693359375,0.9573724269866943,-15.399999999999999,-3.0,18.0,-5.0
1596540530.3022838,1331,368,-787.982421875,0.9136689901351929,-16.399999999999995,18.0,-4.0,-4.0
1596540532.9207175,1332,305,-354.9906921386719,0.9727716445922852,-11.200000000000003,18.0,-4.0,-8.0
1596540535.7730284,1333,343,286.34332275390625,0.9971715211868286,-14.0,-8.0,-8.0,18.0
1596540538.7016454,1334,362,882.8092041015625,0.959484338760376,-15.299999999999994,-6.0,18.0,-3.0
1596540543.8006756,1335,640,1843.5423583984375,1.0061156749725342,-23.099999999999973,-3.0,-3.0,18.0
1596540547.9382272,1336,481,-1466.7626953125,1.043394923210144,5.800000000000015,-3.0,-4.0,-8.0
1596540551.4039557,1337,400,-1562.7342529296875,1.0321087837219238,7.899999999999993,-8.0,-3.0,-4.0
1596540553.8969622,1338,275,-1722.5640869140625,1.015018105506897,10.799999999999997,-6.0,-8.0,-7.0
1596540557.3165696,1339,407,422.2243957519531,0.9509761929512024,-16.09999999999999,-7.0,-5.0,18.0
1596540560.103169,1340,330,-119.9100570678711,0.9710143208503723,-14.600000000000001,-7.0,-5.0,18.0
1596540563.0234234,1341,342,1156.6241455078125,0.9964846968650818,-13.600000000000003,-8.0,-4.0,18.0
1596540566.170016,1342,402,50.03171157836914,0.9276620149612427,-15.899999999999997,-7.0,18.0,-3.0
1596540568.6169143,1343,281,654.4571533203125,0.8983591198921204,-12.400000000000004,-3.0,-7.0,18.0
1596540571.4336815,1344,309,-1322.1983642578125,0.9916368126869202,9.899999999999999,-8.0,-4.0,-6.0
1596540575.485507,1345,489,1238.7239990234375,0.9749459028244019,-17.19999999999998,-7.0,18.0,-3.0
1596540577.289817,1346,222,1244.6234130859375,0.9183966517448425,-12.8,-7.0,-7.0,18.0
1596540579.4812288,1347,280,441.1090087890625,0.8966842293739319,-12.900000000000002,18.0,-8.0,-5.0
1596540582.3267653,1348,354,702.3053588867188,0.9347962737083435,-15.899999999999995,-6.0,-7.0,18.0
1596540585.4750867,1349,364,739.8109741210938,1.007839322090149,-13.000000000000005,18.0,-5.0,-6.0
1596540587.8989294,1350,298,145.85586547851562,0.9859458804130554,-14.8,-8.0,18.0,-8.0
1596540590.8064709,1351,365,781.7235717773438,0.9562228918075562,-15.299999999999999,-6.0,-5.0,18.0
1596540594.4386308,1352,435,-679.9674072265625,0.941478431224823,-13.800000000000002,18.0,-4.0,-8.0
1596540597.8697343,1353,421,-634.2530517578125,0.9319171905517578,-17.69999999999999,18.0,-8.0,-3.0
1596540602.3516662,1354,546,891.8646240234375,0.9933152198791504,-17.299999999999976,-4.0,18.0,-5.0
1596540606.3214686,1355,490,338.99853515625,0.9750490188598633,-17.79999999999999,-6.0,18.0,-6.0
1596540608.8164222,1356,306,1524.927490234375,0.9979512691497803,-14.3,18.0,-4.0,-4.0
1596540611.1163976,1357,248,-1082.369873046875,0.9762341380119324,11.5,-7.0,-8.0,-6.0
1596540614.0893703,1358,361,-453.20672607421875,0.9597750902175903,-11.600000000000005,-6.0,18.0,-3.0
1596540618.7725334,1359,558,750.3971557617188,0.9680150151252747,-17.799999999999986,-8.0,-3.0,18.0
1596540622.5772996,1360,451,-627.7867431640625,0.9683810472488403,-14.3,-7.0,-5.0,18.0
1596540626.3335931,1361,451,199.06668090820312,0.9142881631851196,-16.099999999999984,18.0,-8.0,-4.0
1596540629.4540162,1362,361,-153.50270080566406,0.9981335401535034,-13.100000000000005,-8.0,-6.0,18.0
1596540632.879191,1363,411,999.479248046875,0.8371471762657166,-15.7,-7.0,-6.0,18.0
1596540636.8260682,1364,469,-171.3356170654297,1.0717170238494873,6.300000000000004,-4.0,-7.0,-7.0
1596540639.3570025,1365,287,1666.1729736328125,0.9337400197982788,-13.900000000000002,-8.0,18.0,-7.0
1596540643.108276,1366,441,1985.0894775390625,0.9801414608955383,-14.000000000000004,-6.0,18.0,-5.0
1596540646.9434547,1367,486,3069.91650390625,0.9883357882499695,-19.299999999999983,-5.0,-3.0,18.0
1596540650.7178578,1368,473,2423.37255859375,0.9561218023300171,-18.69999999999999,18.0,-3.0,-5.0
1596540653.7032006,1369,345,316.42156982421875,0.954683780670166,-11.5,18.0,-4.0,-7.0
1596540656.079314,1370,274,-1550.078369140625,1.0197926759719849,-13.400000000000002,18.0,-6.0,-8.0
1596540659.5493698,1371,402,-1619.58837890625,1.027126431465149,7.999999999999995,-6.0,-8.0,-3.0
1596540661.766452,1372,266,-66.59609985351562,1.0094168186187744,-12.000000000000002,-7.0,-4.0,18.0
1596540665.918372,1373,510,778.0245971679688,0.942194938659668,-18.899999999999984,-3.0,-3.0,18.0
1596540670.772352,1374,605,-1157.9542236328125,0.9971960186958313,-22.399999999999974,-8.0,-3.0,18.0
1596540674.1042106,1375,405,212.16015625,1.0108393430709839,-13.600000000000005,18.0,-8.0,-4.0
1596540676.539068,1376,314,-906.9430541992188,0.9390338659286499,-13.400000000000002,18.0,-3.0,-5.0
1596540679.0397098,1377,282,-1009.4397583007812,0.9502329230308533,-13.000000000000004,-7.0,18.0,-5.0
1596540681.5334651,1378,312,181.93748474121094,0.9582269191741943,-12.700000000000003,18.0,-6.0,-3.0
1596540684.393632,1379,322,-1426.4801025390625,1.0527544021606445,9.599999999999998,-7.0,-5.0,-8.0
1596540686.564167,1380,247,40.58758544921875,0.9013564586639404,-13.100000000000001,-4.0,18.0,-8.0
1596540689.385632,1381,313,-1927.236572265625,1.0220732688903809,9.7,-5.0,-5.0,-8.0
1596540691.4724684,1382,259,221.1924285888672,0.8906787633895874,-12.3,-5.0,-8.0,18.0
1596540693.3383687,1383,218,1495.2005615234375,1.0035256147384644,-13.000000000000002,-8.0,18.0,-7.0
1596540696.4747705,1384,399,1036.0166015625,0.9342555999755859,-16.999999999999993,-5.0,18.0,-5.0
1596540699.1247683,1385,324,699.7881469726562,0.9224326610565186,-14.300000000000002,-5.0,18.0,-5.0
1596540701.82579,1386,317,384.69256591796875,0.926651656627655,-12.600000000000003,-3.0,-7.0,18.0
1596540705.0318024,1387,364,-811.198486328125,1.0363236665725708,8.799999999999994,-6.0,-6.0,-5.0
1596540706.6468673,1388,203,144.87957763671875,0.8355785012245178,-12.200000000000001,-6.0,18.0,-8.0
1596540708.6587796,1389,230,463.1715393066406,0.9586750864982605,-11.600000000000001,-8.0,-6.0,18.0
1596540712.066316,1390,425,660.864013671875,1.018172025680542,-16.799999999999994,18.0,-4.0,-5.0
1596540714.1025157,1391,202,-1335.5540771484375,1.005568265914917,12.399999999999999,-8.0,-7.0,-7.0
1596540717.117357,1392,350,-22.029600143432617,0.8970569968223572,-12.600000000000003,-8.0,18.0,-4.0
1596540720.312388,1393,372,767.1422119140625,0.9433008432388306,-12.3,18.0,-5.0,-8.0
1596540723.7623243,1394,410,74.24357604980469,0.9637731909751892,-14.000000000000004,-5.0,-3.0,18.0
1596540726.7671623,1395,344,-66.10591125488281,0.9858243465423584,-13.400000000000006,18.0,-8.0,-4.0
1596540729.5336761,1396,330,985.87646484375,0.8653367757797241,-12.900000000000004,18.0,-8.0,-3.0
1596540732.0526533,1397,322,3075.70751953125,0.9081125259399414,-15.099999999999998,-7.0,-5.0,18.0
1596540734.7740817,1398,340,1804.5335693359375,1.0441454648971558,-13.799999999999997,18.0,-6.0,-6.0
1596540738.2556062,1399,410,-1162.21435546875,1.0474117994308472,7.599999999999996,-3.0,-4.0,-8.0
1596540741.4464326,1400,374,-1511.28076171875,1.0067776441574097,8.999999999999998,-5.0,-6.0,-4.0
1596540745.2612655,1401,445,-1753.5440673828125,1.0149592161178589,6.5000000000000036,-8.0,-8.0,-7.0
1596540747.5848877,1402,251,-1562.5604248046875,0.994887113571167,11.1,-5.0,-6.0,-8.0
1596540751.3547149,1403,442,1903.125732421875,1.0274122953414917,-14.000000000000007,-5.0,18.0,-8.0
1596540755.2228758,1404,459,1324.71826171875,0.920418381690979,-15.499999999999993,18.0,-7.0,-5.0
1596540758.050897,1405,331,454.40814208984375,0.9471641182899475,-13.100000000000005,-5.0,-7.0,18.0
1596540760.913488,1406,356,-1362.7421875,0.938603401184082,-16.299999999999994,-6.0,18.0,-7.0
1596540763.4686182,1407,309,901.6846923828125,0.9293220043182373,-11.000000000000002,-7.0,-3.0,18.0
1596540766.4236696,1408,376,701.0426025390625,0.8446420431137085,-16.499999999999993,18.0,-3.0,-8.0
1596540769.6224692,1409,394,525.6787109375,0.9078860878944397,-16.199999999999996,-3.0,-7.0,18.0
1596540771.9478514,1410,280,859.5925903320312,0.9135673642158508,-14.5,18.0,-6.0,-5.0
1596540775.8855567,1411,469,254.038330078125,0.973552942276001,-17.69999999999998,-6.0,18.0,-8.0
1596540778.5930755,1412,307,624.8502807617188,0.9838290214538574,-12.800000000000004,-7.0,18.0,-7.0
1596540781.7077687,1413,354,-2272.8095703125,1.00757896900177,9.099999999999996,-3.0,-6.0,-7.0
1596540784.5639942,1414,353,79.33373260498047,0.9565367102622986,-16.199999999999996,18.0,-6.0,-7.0
1596540788.343244,1415,449,1601.283935546875,0.954575777053833,-16.899999999999984,-8.0,18.0,-3.0
1596540791.6742752,1416,379,-1984.2579345703125,1.0174833536148071,8.499999999999995,-7.0,-5.0,-7.0
1596540793.5207675,1417,234,251.29519653320312,0.9503514766693115,-12.900000000000002,-7.0,-6.0,18.0
1596540796.470911,1418,361,1028.3902587890625,0.8818654417991638,-16.399999999999995,-6.0,-6.0,18.0
1596540801.400786,1419,594,-625.3609619140625,0.9280835390090942,-17.899999999999977,-8.0,18.0,-3.0
1596540804.9708078,1420,419,714.8460083007812,0.9039633274078369,-13.500000000000007,-6.0,18.0,-5.0
1596540807.3327923,1421,305,1054.094970703125,0.9444039463996887,-14.600000000000001,-7.0,-7.0,18.0
1596540809.8154638,1422,290,818.7772827148438,0.9275744557380676,-11.800000000000002,18.0,-3.0,-7.0
1596540814.8959832,1423,644,791.9647216796875,0.9802132844924927,-21.99999999999997,18.0,-7.0,-4.0
1596540818.4324386,1424,424,1018.8077392578125,1.019508719444275,-13.499999999999991,-6.0,-5.0,18.0
1596540820.7704167,1425,276,987.2487182617188,0.8891958594322205,-12.400000000000002,18.0,-8.0,-7.0
1596540823.0442111,1426,273,2345.16455078125,0.8875560760498047,-13.100000000000003,-7.0,18.0,-8.0
1596540825.563246,1427,326,2230.025390625,0.9624987840652466,-14.899999999999999,-4.0,18.0,-6.0
1596540827.4175086,1428,220,-128.3515625,0.9020028114318848,-11.000000000000002,18.0,-5.0,-8.0
1596540831.014913,1429,426,1314.24560546875,0.9722647666931152,-15.499999999999996,-8.0,18.0,-5.0
1596540833.7413242,1430,304,-2557.85546875,1.014751672744751,10.0,-5.0,-3.0,-8.0
1596540837.1702871,1431,391,-364.817626953125,1.0572282075881958,-13.000000000000002,-6.0,-8.0,18.0
1596540839.9824646,1432,337,-144.08425903320312,0.9213124513626099,-13.700000000000003,-3.0,18.0,-7.0
1596540842.230321,1433,277,-277.4844970703125,0.8578658699989319,-14.000000000000004,18.0,-8.0,-8.0
1596540845.603328,1434,408,2452.618408203125,0.9927442073822021,-15.299999999999994,-3.0,-5.0,18.0
1596540847.8204403,1435,267,-442.3443908691406,0.9503660798072815,-14.100000000000001,-8.0,-8.0,18.0
1596540850.3563905,1436,309,1908.070068359375,0.9348677396774292,-14.7,18.0,-6.0,-3.0
1596540854.1730096,1437,457,575.298583984375,0.9455788731575012,-15.399999999999997,-8.0,18.0,-5.0
1596540857.3246818,1438,376,308.78466796875,0.9701623320579529,-14.799999999999997,-5.0,18.0,-7.0
1596540860.691444,1439,409,1445.731689453125,0.8820117115974426,-17.49999999999999,-3.0,-7.0,18.0
1596540863.165623,1440,306,-82.94510650634766,0.9676031470298767,-14.000000000000004,18.0,-6.0,-7.0
